City,Lat,Lng,Humidity,Cloudiness,Wind Speed,Country,Average Temperature (c),Total Precipitation (mm)
Bucelas,38.9019,-9.1189,74,75,5.14,PT,17.60833333333333,408.3
Canterbury,51.279,1.0799,74,100,3.05,GB,11.708333333333336,665.9000000000001
Baden,47.9974,16.233,70,89,1.86,AT,12.627272727272727,720.4
Istria,44.5667,28.7167,64,74,3.27,RO,14.581818181818182,484.70000000000005
Canelones,-34.6444,-56.2886,63,75,4.12,UY,17.258333333333333,838.8
England,34.5443,-91.969,58,100,4.89,US,19.272727272727277,956.5999999999999
Lebanon,36.2081,-86.2911,54,0,3.6,US,16.57272727272727,920.7000000000002
Setubal,38.5244,-8.8882,92,100,3.85,PT,17.658333333333335,380.1
Colorado,-22.8375,-51.9731,34,1,2.94,BR,23.891666666666666,1278.7
Puente Alto,-33.6167,-70.5833,73,100,0.0,CL,14.518181818181818,471.8
Kumeu,-36.7667,174.5667,96,24,0.33,NZ,15.08333333333333,1717.2
Rapsani,39.902,22.5485,48,23,1.26,GR,16.709090909090907,599.8000000000001
Nelson,-41.2833,173.2833,98,98,2.18,NZ,14.218181818181819,1149.6000000000001
Constantia,44.1833,28.65,73,9,5.25,RO,14.6,392.5
Arizona,34.5003,-111.501,16,0,9.65,US,14.591666666666669,611.7
San Antonio,29.4241,-98.4936,47,40,5.66,US,22.233333333333334,869.1
Pinto Bandeira,-29.0977,-51.4498,98,100,0.71,BR,18.19166666666667,2230.1
Moldova,47.0,29.0,78,0,2.06,MD,13.1,524.8
Zenata,34.9895,-1.4631,56,0,1.03,DZ,19.183333333333334,162.80000000000004
Massachusetts,42.3657,-71.1083,59,100,7.2,US,12.108333333333333,1261.5
Ohio,40.2503,-83.0002,54,0,4.63,US,11.69090909090909,1062.1000000000001
Nashik,19.9833,73.8,89,100,4.84,IN,24.333333333333332,638.3000000000001
South Island,40.0662,-80.732,57,20,3.6,US,13.28181818181818,853.9000000000001
Atlantida,-34.7719,-55.7584,86,0,3.67,UY,17.333333333333332,928.5
Elgin,42.0373,-88.2812,44,40,6.69,US,11.316666666666665,902.4000000000001
Samson,31.1129,-86.0461,46,99,5.94,US,19.509090909090908,1131.5
Wellington,-41.2866,174.7756,92,75,7.72,NZ,14.31666666666667,1250.7
Gisborne,-38.6533,178.0042,93,100,4.76,NZ,14.991666666666667,1861.8
Santa Cruz,-17.8,-63.1667,65,40,7.2,BO,26.341666666666665,1476.2999999999997
Korčula,42.9622,17.1369,70,0,1.56,HR,17.454545454545457,1189.1000000000001
Illinois,40.0003,-89.2504,52,40,4.12,US,13.772727272727275,1111.1000000000001
Juanico,-34.5894,-56.2528,88,3,3.13,UY,17.258333333333333,838.8
Santa Catarina,-27.0,-50.0,100,100,0.6,BR,18.28333333333333,2413.4
Overberg,52.04,5.4944,72,100,1.3,NL,11.733333333333334,1179.6
Sebes,45.9667,23.5667,82,0,0.48,RO,12.445454545454545,630.9
Macedonia,41.3137,-81.5085,61,44,2.66,US,11.275,1192.1000000000001
Germany,51.5,10.5,91,100,0.9,DE,9.941666666666665,1185.7
Palmela,38.569,-8.9013,83,75,4.12,PT,17.658333333333335,380.1
Croatia,45.1667,15.5,68,15,2.04,HR,12.972727272727274,1616.6000000000001
Montevideo,-34.8335,-56.1674,63,75,4.12,UY,17.516666666666666,824.0999999999999
Vienna,48.2085,16.3721,72,0,3.6,AT,13.649999999999999,786.3000000000001
Hungary,47.0,20.0,73,40,2.12,HU,13.336363636363638,660.4
Murfatlar,44.1833,28.4167,59,25,4.07,RO,14.1,472.2
New Zealand,-42.0,174.0,96,100,4.73,NZ,13.745454545454544,713.9000000000001
San Jose,37.3394,-121.895,30,40,6.17,US,16.063636363636366,416.5
Vale dos Vinhedos,-29.1774,-51.5668,100,100,0.4,BR,18.19166666666667,2230.1
Mittelburgenland,47.5018,16.5059,81,82,1.82,AT,12.309090909090912,710.4000000000001
North Carolina,35.5007,-80.0003,56,40,2.06,US,16.318181818181817,896.7
Apalta,-34.3389,-70.8708,73,100,1.41,CL,15.709090909090907,981.7000000000002
Israel,31.5,34.75,71,0,1.5,IL,21.133333333333333,127.60000000000001
Valais,46.2293,7.4597,68,40,1.03,CH,7.945454545454547,0.0
Georgia,32.7504,-83.5002,40,0,3.6,US,18.750000000000004,1493.1
Ankara,39.9199,32.8543,47,0,1.54,TR,14.075000000000001,518.0
Samos,37.7572,26.9769,35,0,5.66,GR,19.775,501.69999999999993
Durbanville,-33.8403,18.6494,87,75,6.17,ZA,16.45,775.5
Eisenberg,50.9667,11.9,92,100,2.67,DE,10.891666666666666,677.3000000000001
Austria,47.3333,13.3333,94,43,1.93,AT,7.8090909090909095,0.0
Mostar,43.3433,17.8081,56,0,1.03,BA,17.85833333333333,1524.1000000000001
Iowa,42.0003,-93.5005,52,20,6.69,US,11.8,753.2
Patras,38.2444,21.7344,56,1,0.34,GR,18.672727272727272,841.3999999999999
Greece,43.2098,-77.6931,56,75,3.09,US,10.499999999999998,954.0999999999999
San Clemente,33.427,-117.612,78,3,2.68,US,16.900000000000002,374.20000000000005
Podunavlje,45.6293,18.8139,83,0,2.06,HR,13.609090909090908,692.8000000000001
Florina,40.782,21.4098,56,33,1.62,GR,12.945454545454545,863.5
Buin,-33.7333,-70.75,68,100,0.94,CL,14.518181818181818,398.3
Vermont,44.0003,-72.7498,64,64,4.09,US,8.68181818181818,1179.8
Switzerland,47.0002,8.0143,85,92,1.92,CH,7.5181818181818185,0.0
Eger,47.9026,20.3733,74,79,1.49,HU,12.290909090909093,708.0
Philadelphia,39.9523,-75.1638,56,40,5.66,US,14.658333333333331,1072.4
Pirque,-17.5755,-66.3517,31,57,5.16,BO,18.741666666666664,459.00000000000006
East Coast,1.3092,103.9389,85,75,0.51,MY,28.24166666666667,2177.6
Attica,40.2942,-87.2489,57,28,5.62,US,13.018181818181818,775.5
Brazil,39.5237,-87.125,52,40,5.14,US,14.099999999999996,1243.6000000000001
Progreso,21.2833,-89.6667,94,100,6.33,MX,27.450000000000003,502.0
Molina,-35.1167,-71.2833,87,100,5.14,CL,15.327272727272726,799.2
Štajerska,47.25,15.1667,81,42,1.43,AT,9.618181818181817,1054.8
Kentucky,-30.7667,151.45,91,6,1.66,AU,13.181818181818185,674.8
Župa,42.7065,18.5146,75,0,1.84,BA,17.545454545454543,1659.8000000000002
Pafos,34.7667,32.4167,78,0,2.06,CY,21.127272727272725,421.5
Szekszárd,46.3501,18.709,67,49,1.3,HU,13.272727272727273,675.1
Madeira,32.6667,-16.75,82,40,1.54,PT,20.775000000000002,576.0999999999999
Elazığ,38.6743,39.2232,33,0,3.09,TR,14.283333333333331,694.4
Kutjevo,45.4261,17.8825,85,5,0.75,HR,13.936363636363637,845.8000000000001
Connecticut,41.667,-72.6665,59,0,5.14,US,12.516666666666667,1525.9
Algarve,-30.0344,-51.0791,93,100,1.54,BR,20.39166666666667,1844.4
Sopron,47.685,16.5905,74,99,2.45,HU,12.309090909090912,710.4000000000001
Hvar,43.1725,16.4428,73,0,4.79,HR,18.55454545454545,899.7
Cahul,45.9075,28.1944,65,40,1.99,MD,13.581818181818182,472.5
Elim,40.2979,-78.9425,43,20,0.89,US,11.136363636363635,1164.0
Brda,43.5244,16.4692,41,0,5.14,HR,18.125,964.1
Morocco,40.9462,-87.4534,57,15,6.41,US,11.8,865.6000000000001
Rhode Island,41.7504,-71.4998,68,75,7.2,US,11.649999999999999,1465.0
Vânju Mare,44.425,22.8713,62,0,2.72,RO,13.5,761.9000000000001
Central Greece,38.3524,23.14,52,78,0.34,GR,17.700000000000003,482.6
Requinoa,-34.2833,-70.8333,66,100,1.8,CL,15.709090909090907,981.7000000000002
Goumenissa,40.9439,22.4442,58,33,1.21,GR,16.627272727272725,521.2
Messinia,37.25,21.8333,61,18,1.39,GR,18.05,689.0
Markopoulo,37.8833,23.9333,53,20,1.54,GR,19.336363636363636,390.1
Campanha,-21.8361,-45.4006,54,7,1.77,BR,20.73333333333333,1212.9
Gladstone,-23.85,151.25,61,0,0.0,AU,22.900000000000002,711.0
Colares,38.7992,-9.4469,94,100,6.26,PT,17.818181818181817,460.6000000000001
Helderberg,-34.0305,18.8311,87,12,5.36,ZA,17.041666666666668,813.5999999999999
Casablanca & Leyda Valleys,33.5928,-7.6192,79,2,2.54,MA,20.225,169.20000000000002
Hawaii,20.7503,-156.5003,78,75,8.23,US,24.61666666666667,294.79999999999995
Krk,45.0258,14.5731,73,4,2.09,HR,16.645454545454548,2190.0
Arcadia,34.1397,-118.0353,55,75,5.14,US,17.845454545454547,878.6999999999999
Kathikas,34.9125,32.4258,88,0,1.52,CY,21.127272727272725,421.5
Lesbos,39.1667,26.3333,43,2,3.17,GR,19.581818181818186,648.4000000000001
Neuchâtel,46.9167,6.8333,84,0,1.54,CH,12.375000000000002,985.2
